,noticeID,wetland_type,impact_duration,impact_quantity,impact_unit,impact_type,impact_type_clean
46,Notice_NO_6600,wetland,permanent,0.645,acres,fill,LOSS
47,Notice_NO_6561,water control structure,unknown,14.0,other,installation and operation,UNCATEGORIZED
48,Notice_NO_6551,bottomland,unknown,1455.7,acres,preservation,UNCATEGORIZED
49,Notice_NO_6551,open water,unknown,4.82,acres,preservation,BENEFIT
50,Notice_NO_6559,unknown,temporary,1444.0,square feet,loss,UNCATEGORIZED
51,Notice_NO_6569,jurisdictional swamp wetland,unknown,0.18,acres,directly impacted,LOSS
52,Notice_NO_6554,coastal palustrine emergent wetland,unknown,4.71,acres,fill,LOSS
53,Notice_NO_6560,unknown,temporary,3705.0,square feet,mechanical dredging,UNCATEGORIZED
54,Notice_NO_6563,water,unknown,4190.0,square feet,remove,LOSS
55,Notice_NO_6563,water,unknown,4819.0,square feet,remove,LOSS
56,Notice_NO_6563,bulkhead,unknown,30.0,feet,repair,UNCATEGORIZED
57,Notice_NO_6563,wood mooring pile,unknown,43.0,other,placement,UNCATEGORIZED
58,Notice_NO_6563,concrete dock,unknown,4378.0,square feet,install,UNCATEGORIZED
59,Notice_NO_6563,concrete dock pile,unknown,89.0,other,install,UNCATEGORIZED
60,Notice_NO_6563,wood dock,unknown,5007.0,square feet,install,UNCATEGORIZED
61,Notice_NO_6563,wood dock pile,unknown,224.0,other,install,UNCATEGORIZED
62,Notice_NO_6563,floating dock,unknown,200.0,square feet,install,UNCATEGORIZED
63,Notice_NO_6597,forested wetland,permanent,13.2,acres,loss,LOSS
64,Notice_NO_6597,non-wetland water,permanent,2.78,acres,loss,LOSS
65,Notice_NO_6597,forested wetland,unknown,1.1,acres,secondary impact,LOSS
66,Notice_NO_6564,beach,15-year,53600.0,cubic yards,renourishment,UNCATEGORIZED
67,Notice_NO_6573,section 404 wetland,temporary,0.93,acres,loss,LOSS
68,Notice_NO_6588,wetland,unknown,3.9,acres,loss,LOSS
69,Notice_NO_6588,intermittent stream,unknown,273.5,feet,loss,LOSS
70,Notice_NO_6605,water,unknown,7.0,acres,excavation,LOSS
71,Notice_NO_6605,wetland,unknown,1837.0,acres,beneficially effect,UNCATEGORIZED
72,Notice_NO_6596,forested bottomland hardwood,permanent,2.3,acres,loss,LOSS
73,Notice_NO_6577,san bernard river,unknown,300000.0,cubic yards,dredging,UNCATEGORIZED
74,Notice_NO_6577,channel,unknown,34.14,acres,dredge footprint,UNCATEGORIZED
75,Notice_NO_6577,surf zone,unknown,,unknown,beach nourishment,UNCATEGORIZED
76,Notice_NO_6562,nearshore open water,unknown,1.35,acres,fill,LOSS
77,Notice_NO_6562,tidal wetland,unknown,0.15,acres,fill,LOSS
78,Notice_NO_6562,tidal wetland,unknown,0.18,acres,net growth,UNCATEGORIZED
79,Notice_NO_6575,waters of the u.s.,permanent,6080.0,cubic yards,fill material,LOSS
80,Notice_NO_6575,herbaceous shrub wetland,permanent,0.75,acres,residential lot development,UNCATEGORIZED
81,Notice_NO_6575,shallow water habitat of the giww,permanent,0.007,acres,erosion control and shoreline protection,UNCATEGORIZED
82,Notice_NO_6582,wet pine savannah wetland,unknown,67.69,acres,fill,LOSS
83,Notice_NO_6571,txit berth,unknown,11.0,acres,siltation basin,UNCATEGORIZED
84,Notice_NO_6601,artificial reef,unknown,40.0,acres,expansion,UNCATEGORIZED
85,Notice_NO_6586,jurisdictional wetland,permanent,11.82,acres,loss,LOSS
86,Notice_NO_6584,bottomland hardwood,permanent,4.23,acres,loss,LOSS
87,Notice_NO_6584,non-wetland waters (nww),permanent,0.6,acres,loss,LOSS
88,Notice_NO_6580,non-vegetated waterbottom,unknown,7.4,acres,loss,LOSS
89,Notice_NO_6592,coastal habitat,unknown,7600.0,feet,creation,UNCATEGORIZED
90,Notice_NO_6592,access channel,unknown,54000.0,cubic yards,dredging,UNCATEGORIZED
91,Notice_NO_6583,unknown,unknown,4607.0,feet,mooring space,UNCATEGORIZED
92,Notice_NO_6565,unknown,unknown,260.0,feet,partial removal of existing seawall,UNCATEGORIZED
93,Notice_NO_6565,unknown,unknown,1350.0,feet,partial removal of existing shoreline armoring along the man-made canal to the north,UNCATEGORIZED
94,Notice_NO_6565,unknown,unknown,141.0,feet,complete removal of existing shoreline armoring along the man-made canal to the north,UNCATEGORIZED
95,Notice_NO_6565,unknown,unknown,18221.0,square feet,complete removal of existing wooden dock along the east and northeast sites of the property,UNCATEGORIZED
96,Notice_NO_6565,unknown,unknown,36684.0,cubic yards,excavation of upland area to create a new boat basin,UNCATEGORIZED
97,Notice_NO_6565,unknown,unknown,618.0,cubic yards,dredging within the north canal,UNCATEGORIZED
98,Notice_NO_6565,unknown,unknown,1375.0,feet,construction of new steel sheet pile seawall along the man-made canal to the north,UNCATEGORIZED
99,Notice_NO_6565,mangrove fringe wetland,unknown,1550.0,square feet,loss due to placement of clean fill,LOSS
100,Notice_NO_6591,non-tidal wetland,unknown,2.556,acres,fill,LOSS
101,Notice_NO_6552,waters of the u.s.,unknown,1.45,acres,fill,LOSS
102,Notice_NO_6568,jurisdictional wetland,unknown,13.31,acres,direct loss,LOSS
103,Notice_NO_6568,jurisdictional other waters of the u,unknown,0.78,acres,direct loss,LOSS
104,Notice_NO_6598,jurisdictional wetland,unknown,2.96,acres,loss,LOSS
105,Notice_NO_6598,jurisdictional wetland,permanent,0.73,acres,loss,LOSS
106,Notice_NO_6581,forested wetland,unknown,6.8,acres,loss,LOSS
107,Notice_NO_6581,emergent wetland,unknown,1.1,acres,loss,LOSS
108,Notice_NO_6567,mississippi river waterbottom,unknown,53.9,acres,dredging,LOSS
109,Notice_NO_6567,mississippi river batture forested jurisdicitonal wetland,unknown,15.61,acres,direct loss,LOSS
110,Notice_NO_6567,other waters of the us (mississippi river and protected side waters),unknown,30.8,acres,direct loss,LOSS
111,Notice_NO_6606,marine terminal,unknown,38.0,acres,fill,UNCATEGORIZED
112,Notice_NO_6606,onsite wetland,unknown,38.37,acres,fill,LOSS
113,Notice_NO_6606,onsite waters of the united states (wotus),unknown,38.0,acres,fill,LOSS
114,Notice_NO_6606,general land office (glo) -managed shoal point island,unknown,1.34,other,dredged,UNCATEGORIZED
115,Notice_NO_6606,palustrine emergent wetlands (pem),unknown,1.01,acres,fill,LOSS
116,Notice_NO_6606,estuarine emergent wetlands (ee m),unknown,0.07,acres,fill,LOSS
117,Notice_NO_6606,palustrine scrub shrub wetlands (pss),unknown,15.4,acres,fill,LOSS
118,Notice_NO_6606,palustrine forested wetlands (pfo),unknown,0.98,acres,fill,LOSS
119,Notice_NO_6608,silt blade dredging,unknown,,unknown,dredging,UNCATEGORIZED
120,Notice_NO_6608,adloy placement area,unknown,,unknown,dredged material placement area,UNCATEGORIZED
121,Notice_NO_6608,"mccarty road, ralston road and greenshadow landfill",unknown,,unknown,dredge material placement,UNCATEGORIZED
122,Notice_NO_6609,unknown,unknown,8.9,acres,dredged,UNCATEGORIZED
123,Notice_NO_6610,water bottom,unknown,1700.0,square feet,fill,LOSS
124,Notice_NO_6611,intertidal zone,unknown,0.23,acres,enhancement,UNCATEGORIZED
125,Notice_NO_6611,marsh sill,unknown,69.0,cubic yards,erosion control,UNCATEGORIZED
126,Notice_NO_6611,marsh,unknown,17590.0,square feet,planting,UNCATEGORIZED
127,Notice_NO_6612,forested wetland,unknown,670.0,acres,construction,UNCATEGORIZED
128,Notice_NO_6612,adjacent wetland,unknown,42.41,acres,direct impact,LOSS
129,Notice_NO_6613,unknown,unknown,26000.0,cubic yards,excavate,UNCATEGORIZED
130,Notice_NO_6613,unknown,unknown,122000.0,square feet,construct,UNCATEGORIZED
131,Notice_NO_6613,unknown,unknown,15.0,feet,excavate,UNCATEGORIZED
132,Notice_NO_6613,unknown,unknown,16.62,feet,excavate,UNCATEGORIZED
133,Notice_NO_6613,unknown,unknown,275.0,feet,contain,UNCATEGORIZED
134,Notice_NO_6613,unknown,unknown,420.0,feet,contain,UNCATEGORIZED
135,Notice_NO_6613,unknown,unknown,115500.0,square feet,contain,UNCATEGORIZED
136,Notice_NO_6613,unknown,unknown,1485.0,feet,install,UNCATEGORIZED
137,Notice_NO_6613,unknown,unknown,56400.0,square feet,backfill,UNCATEGORIZED
138,Notice_NO_6613,unknown,unknown,280.0,feet,lengthen,UNCATEGORIZED
139,Notice_NO_6613,unknown,unknown,8.0,other,install,UNCATEGORIZED
140,Notice_NO_6615,wetland,unknown,2.71,acres,fill,LOSS
141,Notice_NO_6619,unknown,unknown,220.0,cubic yards,rip-rap material,UNCATEGORIZED
142,Notice_NO_6620,unknown,unknown,,acres,no wetland impacts,UNCATEGORIZED
143,Notice_NO_6622,mississippi river waterbottom,unknown,44.97,acres,dredging,LOSS
144,Notice_NO_6622,mississippi river batture jurisdictional wetland,temporary,0.96,acres,loss,LOSS
145,Notice_NO_6622,forested batture wetland,permanent,0.54,acres,conversion to emergent wetlands,UNCATEGORIZED
146,Notice_NO_6622,jurisdictional batture wetland,permanent,0.35,acres,fill,LOSS
147,Notice_NO_6622,other waters of the us (mississippi river and batture side waters),permanent,0.54,acres,loss,LOSS
148,Notice_NO_6622,other waters of the u,permanent,1.43,acres,fill,LOSS
149,Notice_NO_6623,wetland,permanent,14.42,acres,loss,LOSS
150,Notice_NO_6623,tidal stream,unknown,0.12,acres,loss,LOSS
151,Notice_NO_6623,chocolate bayou,unknown,0.16,acres,loss,UNCATEGORIZED
152,Notice_NO_6624,waterbottom,unknown,1440.0,square feet,loss,LOSS
153,Notice_NO_6624,marsh,unknown,800.0,square feet,planting,UNCATEGORIZED
154,Notice_NO_6624,waterbottom,unknown,1.45,acres,loss,LOSS
155,Notice_NO_6625,jurisdictional wetland,unknown,6420.0,square feet,fill,LOSS
156,Notice_NO_6625,mangrove wetland,unknown,2015.0,square feet,avoid,UNCATEGORIZED
157,Notice_NO_6626,jurisdictional,unknown,11.2,acres,fill,LOSS
158,Notice_NO_6626,non-jurisdictional,unknown,2.2,acres,fill,LOSS
159,Notice_NO_6626,jurisdictional,unknown,1.23,acres,fill,LOSS
160,Notice_NO_6626,jurisdictional,unknown,11.09,acres,fill,LOSS
161,Notice_NO_6626,non-jurisdictional,unknown,2.2,acres,fill,LOSS
162,Notice_NO_6626,jurisdictional,unknown,3.79,acres,fill,LOSS
163,Notice_NO_6627,waters of the u.s. (wetlands),unknown,0.15,acres,previous unauthorized fill,LOSS
164,Notice_NO_6627,wetland,unknown,0.09,acres,fill,LOSS
165,Notice_NO_6628,waterbottom,unknown,0.84,acres,loss,LOSS
166,Notice_NO_6629,unknown,unknown,2300.0,cubic yards,fill material,UNCATEGORIZED
167,Notice_NO_6630,tributarie,unknown,2033.0,feet,fill,UNCATEGORIZED
168,Notice_NO_6631,channel ii -b,unknown,691.0,feet,"stabilize maintenance berms, side slopes and channel bottoms",UNCATEGORIZED
169,Notice_NO_6632,waters of the united state,unknown,35000.0,cubic yards,dredging,LOSS
170,Notice_NO_6632,"unvegetated, subaqueous bottom",temporary,0.046,acres,dredge pipe impact,UNCATEGORIZED
171,Notice_NO_6632,tidal marsh,unknown,,unknown,dredge pipe impact,LOSS
172,Notice_NO_6632,waters of the united state,unknown,2024.0,feet,bulkhead installation,UNCATEGORIZED
173,Notice_NO_6632,waters of the united state,unknown,1609.0,feet,bulkhead installation,UNCATEGORIZED
174,Notice_NO_6632,tidal marshe,unknown,,unknown,bulkhead impact,LOSS
175,Notice_NO_6632,waters of the united state,unknown,28008.0,square feet,floating dock construction,UNCATEGORIZED
176,Notice_NO_6633,exotic hardwood wetland,unknown,0.39,acres,loss,LOSS
177,Notice_NO_6633,mangrove swamp,unknown,0.47,acres,loss,UNCATEGORIZED
178,Notice_NO_6633,upland cut surface water,unknown,0.28,acres,direct impacts,LOSS
179,Notice_NO_6634,palustrine emergent,unknown,1.39,acres,fill,LOSS
180,Notice_NO_6635,waters of the united state,unknown,0.2,acres,fill,LOSS
181,Notice_NO_6636,estuarine emergent wetland,unknown,0.13,acres,riprap,UNCATEGORIZED
182,Notice_NO_6636,open water,unknown,0.34,acres,riprap,UNCATEGORIZED
183,Notice_NO_6636,pond,unknown,7.64,acres,fill,UNCATEGORIZED
184,Notice_NO_6637,jurisdictional wetland,unknown,0.44,acres,fill,LOSS
185,Notice_NO_6638,coastal wetland,unknown,309.0,feet,utility installation,UNCATEGORIZED
186,Notice_NO_6638,mangrove wetland,unknown,3441.0,square feet,placement of limerock,UNCATEGORIZED
187,Notice_NO_6639,freshwater forested wetland,unknown,6.05,acres,direct,LOSS
188,Notice_NO_6639,freshwater forested wetland,unknown,1.47,acres,secondary,UNCATEGORIZED
189,Notice_NO_6639,freshwater herbaceous wetland,unknown,2.9,acres,direct,LOSS
190,Notice_NO_6639,freshwater herbaceous wetland,unknown,0.64,acres,secondary,UNCATEGORIZED
191,Notice_NO_6639,surface water 3 (owl creek),unknown,0.48,acres,direct,LOSS
192,Notice_NO_6639,surface water 3 (owl creek),unknown,0.07,acres,secondary,UNCATEGORIZED
193,Notice_NO_6639,mangrove swamps area (surface water -1m),unknown,0.28,acres,direct,LOSS
194,Notice_NO_6639,mangrove swamps area (surface water -1m),unknown,0.03,acres,secondary,UNCATEGORIZED
195,Notice_NO_6639,surface water 1 (freshwater stream),unknown,2.1,acres,direct,LOSS
196,Notice_NO_6639,other surface water,unknown,5.39,acres,direct,LOSS
197,Notice_NO_1501,offshore water,unknown,32.1,miles,abandoning of natural gas pipelines,UNCATEGORIZED
198,Notice_NO_1501,federal water,unknown,26.5,miles,removal of pipeline,LOSS
199,Notice_NO_1501,federal and state water,unknown,5.6,miles,removal of pipeline,LOSS
200,Notice_NO_1501,unvegetated waterbottom,temporary,1156.09,acres,"dredging, jetting, and barge staging",LOSS
201,Notice_NO_1502,water bottom,unknown,9.45,acres,dredging and filling,LOSS
202,Notice_NO_1502,wetland,permanent,0.68,acres,loss,LOSS
203,Notice_NO_1503,waterbottom,unknown,37.0,acres,dredging,LOSS
204,Notice_NO_1503,spoil bank,unknown,36.0,acres,deposit,UNCATEGORIZED
205,Notice_NO_1504,open water,unknown,0.9,acres,loss,LOSS
206,Notice_NO_1505,jurisdictional wetland,permanent,1.039,acres,loss,LOSS
207,Notice_NO_1506,unknown,unknown,,acres,no wetland impacts,UNCATEGORIZED
208,Notice_NO_1507,forested wetland,permanent,7.43,acres,loss,LOSS
209,Notice_NO_1508,waterbottom,permanent,2.38,acres,excavation and fill activities,LOSS
210,Notice_NO_1508,wet land,permanent,0.0042,acres,excavation and fill activities,UNCATEGORIZED
211,Notice_NO_1509,jurisdictional wetland,permanent,8.18,acres,loss,LOSS
212,Notice_NO_1510,jurisdictional herbaceous wetland,permanent,3.28,acres,loss,LOSS
213,Notice_NO_1511,unknown,unknown,,unknown,install and maintain,UNCATEGORIZED
214,Notice_NO_1512,wetland,temporary,11.5,acres,loss,LOSS
215,Notice_NO_1512,marsh,unknown,153.0,acres,creation,BENEFIT
216,Notice_NO_1512,beneficial use area,unknown,310.0,acres,creation,UNCATEGORIZED
217,Notice_NO_1513,unknown,unknown,785.5,acres,construction,UNCATEGORIZED
218,Notice_NO_1513,unknown,unknown,38.3,acres,construction,UNCATEGORIZED
219,Notice_NO_1513,terminal site,unknown,631.7,acres,construction,UNCATEGORIZED
220,Notice_NO_1513,marine facilitie,unknown,1.0,acres,construction,UNCATEGORIZED
221,Notice_NO_1513,wetland,unknown,37.9,acres,permanent loss,LOSS
222,Notice_NO_1513,open water,unknown,4.0,acres,permanent loss,LOSS
223,Notice_NO_1513,open water,unknown,1.0,acres,temporary impact,LOSS
224,Notice_NO_1513,wetland,unknown,41.0,acres,permanent loss,LOSS
225,Notice_NO_1513,eem wetland,unknown,1.5,acres,conversion to open water,UNCATEGORIZED
226,Notice_NO_1513,eem wetland,unknown,1.7,acres,permanent fill,LOSS
227,Notice_NO_1513,wetland,unknown,15.0,acres,temporary impact,LOSS
228,Notice_NO_1513,wetland,unknown,741.8,acres,permanent loss,LOSS
229,Notice_NO_1513,wetland,unknown,,acres,conversion to another wetland type,UNCATEGORIZED
230,Notice_NO_1513,wetland,unknown,56.0,acres,temporary impact,LOSS
231,Notice_NO_1513,wetland,unknown,16.9,acres,avoided impact,LOSS
232,Notice_NO_1514,marsh habitat,unknown,17.4,acres,loss,LOSS
233,Notice_NO_1514,water bottom,unknown,8.0,acres,loss,LOSS
234,Notice_NO_1514,upland habitat,unknown,1.5,acres,loss,UNCATEGORIZED
235,Notice_NO_1514,water bottom,unknown,38.4,acres,fill,LOSS
236,Notice_NO_2001,jurisdictional wetland,unknown,5.35,acres,directly impact,LOSS
237,Notice_NO_2001,cleared wetland,prior,0.57,acres,mitigated,UNCATEGORIZED
238,Notice_NO_1515,forested wetland,permanent,38.4,acres,"clearing, filling or excavation",LOSS
239,Notice_NO_1515,remaining wetland,unknown,36.0,acres,secondary impacts,LOSS
240,Notice_NO_1515,non-wetland water,permanent,0.2,acres,clearing,LOSS
241,Notice_NO_1516,pine plantation,unknown,66.3,acres,timber management activities,UNCATEGORIZED
242,Notice_NO_1517,westlake’s barge slip area,unknown,,unknown,unknown,UNCATEGORIZED
243,Notice_NO_1517,westlake’s sabine riverwatersettlingbasin,unknown,,unknown,unknown,UNCATEGORIZED
244,Notice_NO_1517,"westlake docks a,b and c and the river water intake structure",unknown,,unknown,unknown,UNCATEGORIZED
245,Notice_NO_1517,lockport marsh area,unknown,,unknown,unknown,UNCATEGORIZED
246,Notice_NO_2002,wetland,permanent,0.3,acres,loss,LOSS
247,Notice_NO_1518,jurisdictional water bottom,temporary,0.1,acres,revetment repair,UNCATEGORIZED
248,Notice_NO_2003,10/404 wetland,unknown,0.047,acres,direct loss,LOSS
249,Notice_NO_1519,emergent wetland,temporary,4.4,acres,loss,LOSS
250,Notice_NO_1519,water bottom,temporary,26.0,acres,loss,LOSS
251,Notice_NO_1520,waterbottom,unknown,32408.0,cubic yards,dredging,LOSS
252,Notice_NO_1520,waterbottom,unknown,9680.0,cubic yards,rip-rap fill,LOSS
253,Notice_NO_1520,shoreline wetland,unknown,0.16,acres,loss,LOSS
254,Notice_NO_1521,unknown,unknown,0.91,acres,preservation,UNCATEGORIZED
255,Notice_NO_1521,unknown,unknown,0.9,acres,fill,UNCATEGORIZED
256,Notice_NO_1522,forested wetland,permanent,7.25,acres,loss,LOSS
257,Notice_NO_1522,forested wetland,unknown,7.5,acres,impact,LOSS
258,Notice_NO_1523,ridge habitat,unknown,10.0,miles,restored,UNCATEGORIZED
259,Notice_NO_1523,unvegetated waterbottom,unknown,36.36,acres,excavated,LOSS
260,Notice_NO_1523,existing bankline ridge,unknown,45.95,acres,restored,UNCATEGORIZED
261,Notice_NO_1523,freshwater marsh,unknown,12255.0,acres,restored and enhanced,BENEFIT
262,Notice_NO_1524,bottomland hardwood,unknown,60.68,acres,direct impacts,LOSS
263,Notice_NO_1524,cypress tupelo,unknown,47.63,acres,direct impacts,UNCATEGORIZED
264,Notice_NO_1525,mississippi river,unknown,56.0,acres,hydraulic dredging,UNCATEGORIZED
265,Notice_NO_1525,stockpiling area,unknown,35.0,acres,discharge,UNCATEGORIZED
266,Notice_NO_1525,jurisdictional wetland,unknown,0.07,acres,clearing,LOSS
267,Notice_NO_1526,other waters of the u,unknown,3.75,acres,fill placement,LOSS
268,Notice_NO_1527,jurisdictional wetland,unknown,8.6,acres,direct impact,LOSS
269,Notice_NO_1527,non-jurisdictional wetland,unknown,2.9,acres,direct impact,LOSS
270,Notice_NO_1527,jurisdictional wetland,unknown,23.0,acres,avoided,UNCATEGORIZED
271,Notice_NO_1528,forested wetland,permanent,0.22,acres,loss,LOSS
272,Notice_NO_1528,non-wetland water,permanent,0.09,acres,loss,LOSS
273,Notice_NO_1529,herbaceous wetland,permanent,1.0,acres,loss,LOSS
274,Notice_NO_1530,jurisdictional wetland,unknown,1.6,acres,loss,LOSS
275,Notice_NO_1531,jurisdictional wetland,unknown,37.14,acres,loss,LOSS
276,Notice_NO_1532,channel,unknown,4500.0,feet,concrete channel paving,UNCATEGORIZED
277,Notice_NO_1532,channel,unknown,15500.0,feet,"selective clearing, snagging, grading, debris removal, and obstruction removal",UNCATEGORIZED
278,Notice_NO_1532,other water,unknown,4.3,acres,fill operations,LOSS
279,Notice_NO_1532,bottomland hardwood,permanent,0.026,acres,clearing and redistribution of fill along the channel edges,LOSS
280,Notice_NO_1534,forested wetland,permanent,3.95,acres,filling,LOSS
281,Notice_NO_1534,non-wetland water,temporary,5.24,acres,dredging,LOSS
282,Notice_NO_1535,emergent wetland,permanent,4.94,acres,loss,LOSS
283,Notice_NO_1535,non-wetland water,permanent,0.14,acres,loss,LOSS
284,Notice_NO_1535,emergent wetland,temporary,22.0,acres,loss,LOSS
285,Notice_NO_1535,non-wetland water,temporary,16.17,acres,loss,LOSS
286,Notice_NO_1536,jurisdictional water,temporary,24.03,acres,dredging and filling,LOSS
287,Notice_NO_1536,emergent wetland,temporary,8.04,acres,dredging and filling,LOSS
288,Notice_NO_1536,forested wetland,temporary,10.2,acres,chipping,UNCATEGORIZED
289,Notice_NO_1537,bottomland hardwood and cypress swamp,unknown,,unknown,loss,LOSS
290,Notice_NO_1538,sand pit,unknown,10.0,acres,excavation,UNCATEGORIZED
291,Notice_NO_1538,traditionally navigable water and mississippi river batture,unknown,16.0,acres,excavation,LOSS
292,Notice_NO_1539,forested wetland,unknown,1.44,acres,loss,LOSS
293,Notice_NO_1539,non-wetland water,unknown,0.01,acres,loss,LOSS
294,Notice_NO_1540,"emergent, bottomland hardwood, and cypress wetland",permanent,14.6,acres,loss,LOSS
295,Notice_NO_1540,wetland,temporary,4.7,acres,loss,LOSS
296,Notice_NO_1541,bottomland hardwood,permanent,1.13,acres,loss,LOSS
297,Notice_NO_1541,emergent wetland,permanent,0.04,acres,loss,LOSS
298,Notice_NO_1541,bottomland hardwood,unknown,0.16,acres,conversion to emergent wetlands,UNCATEGORIZED
299,Notice_NO_1541,emergent wetland,temporary,0.04,acres,loss,LOSS
300,Notice_NO_1541,non-wetland waters of the united state,temporary,0.86,acres,loss,LOSS
301,Notice_NO_1542,waters of the u,unknown,0.82,acres,fill,LOSS
302,Notice_NO_1542,wetland,unknown,5.52,acres,fill,LOSS
303,Notice_NO_1542,wetland,unknown,3.37,acres,restoration,BENEFIT
304,Notice_NO_1542,wetland,unknown,2.42,acres,evaluation,UNCATEGORIZED
305,Notice_NO_1542,water,unknown,0.55,acres,evaluation,UNCATEGORIZED
306,Notice_NO_1543,unknown,unknown,2.75,acres,loss,UNCATEGORIZED
307,Notice_NO_1544,traditionally navigable waterway,unknown,8.9,acres,loss,UNCATEGORIZED
308,Notice_NO_2005,wetland,unknown,0.58,acres,clear and fill,LOSS
309,Notice_NO_2005,other water,unknown,0.85,acres,fill,LOSS
310,Notice_NO_1545,unknown,unknown,,other,No excavation or fill required,UNCATEGORIZED
311,Notice_NO_1546,jurisdictional wetland,permanent,1.71,acres,excavation operations,LOSS
312,Notice_NO_1546,jurisdictional wetland,permanent,13.4,acres,filling operations,LOSS
313,Notice_NO_1546,non-wetland water,temporary,0.01,acres,filling operations,LOSS
314,Notice_NO_1547,jurisdictional wetland,unknown,0.88,acres,loss,LOSS
315,Notice_NO_1548,forested wetland,permanent,6.91,acres,loss,LOSS
316,Notice_NO_1548,non-wetland water,permanent,0.04,acres,loss,LOSS
317,Notice_NO_1549,marsh,unknown,440.0,acres,creation,BENEFIT
318,Notice_NO_1549,existing wetlands and water,temporary,929.0,acres,loss,LOSS
319,Notice_NO_2007,jurisdictional wetland,unknown,5.84,acres,loss,LOSS
320,Notice_NO_1550,jurisdictional wetland,permanent,8.65,acres,loss,LOSS
